7o-CA;GBA	GBA	462.2861	11.5717	52.2306	47.0669
7o-CA;TBA	TBA	512.2687	11.8521	53.5639	49.4302
7o-HCA;BA	BA	405.2646	11.3863	39.1269	30.4484
7o-HCA;GBA	GBA	462.2861	11.2172	50.0252	42.8223
7o-HCA;TBA	TBA	512.2687	11.5776	51.6747	45.5237
7,12-2o-CA;BA	BA	403.249	10.4506	41.5016	37.1497
7,12-2o-CA;BA-3S	BA-S	483.2059	10.3451	47.0878	41.2913
7,12-2o-CA;GBA	GBA	460.2705	9.7774	48.3699	44.4197
7,12-2o-CA;GBA-3S	GBA-S	269.61	9.2103	53.8646	46.1869
7,12-2o-CA;TBA	TBA	510.2531	10.1547	50.5756	49.0348
7,12-2o-CA;TBA-3S	TBA-S	294.60135	9.2792	53.4588	42.3527
3,7,12-3o-CA;BA	BA	401.2333	9.4719	36.2877	32.1396
3,7,12-3o-CA;GBA	GBA	458.2548	8.3771	40.0402	34.2166
3,7,12-3o-CA;TBA	TBA	508.2374	8.8936	43.4104	41.0326
CA-6a-ol;BA	BA	423.2752	12.2259	52.7356	50.9246
CA-6a-ol;GBA	GBA	480.2967	11.0223	54.7221	48.2296
CA-6a-ol;TBA	TBA	530.2793	11.4501	57.381	54.1114
